ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,LATITUDE,LONGITUDE,ShortSale
129900,3,1.25,1600,6098,1941,73,0,No,36,N,Y,44.950699,-93.050262,N
179900,3,1,864,6098,1953,61,2,Garage,86,Y,N,44.905338,-93.183754,N
375000,3,1.75,1980,9147,1990,24,2,Garage,137,Y,N,44.942013,-93.150826,N
329900,3,2.75,2478,6098,1937,77,2,Garage,57,Y,N,44.924892,-93.15094,N
519900,3,2.5,2973,6098,1923,91,4,Garage,137,Y,N,44.907166,-93.29483,N
1375000,5,4.25,4934,14810,1910,104,2,Garage,137,N,N,44.944958,-93.115173,N
750000,5,3.5,3849,13503,1933,81,3,Garage,77,N,N,44.920876,-93.151428,N
140000,3,1.5,1167,8712,1915,99,2,Garage,137,Y,N,44.978348,-93.124138,N
139900,2,1,1530,9147,1950,64,1,Garage,9,N,Y,44.957508,-93.048401,N
90000,3,1,1308,5227,1880,134,4,Garage,57,Y,N,44.965187,-93.048447,Y
150000,2,1,759,,1919,95,2,Garage,137,N,N,44.978516,-93.105553,N
169900,4,1.5,1744,4791,1890,124,0,No,50,N,N,44.961803,-93.152847,N
124000,3,2.5,1700,9147,1915,99,2,Garage,18,N,Y,44.966984,-93.047867,N
159900,2,1,1120,4791,1940,74,1,Garage,137,Y,N,44.923996,-93.153175,N
299500,3,1.75,1395,4791,1927,87,2,Garage,2,N,N,44.931755,-93.153152,N
129850,3,1,1382,5227,1929,85,2,Garage,49,N,Y,44.979248,-93.077744,N
215900,2,1,720,,1923,91,2,Garage,137,Y,N,44.929428,-93.153481,N
199000,4,1.25,1887,125888,1885,129,2,Garage,96,N,N,44.903839,-93.009346,N
159900,3,1,1184,10454,1931,83,5,Garage,110,Y,N,44.979492,-93.126785,N
134990,3,1,1774,5227,1921,93,4,Garage,103,Y,Y,44.958855,-93.046776,N
99000,2,1,960,5532,1919,95,1,Garage,12,N,N,44.97958,-93.10685,N
165000,4,1.5,1544,5227,1913,101,2,Garage,96,N,N,44.967216,-93.154083,N
84900,3,1.75,1381,3920,1891,123,3,Garage,99,Y,Y,44.979755,-93.075775,N
153334,3,1,1120,5227,1916,98,2,Garage,72,Y,Y,44.967205,-93.154472,N
439000,4,2.5,3007,13068,1927,87,2,Garage,1,N,N,44.980263,-93.134377,N
414900,5,3.5,2922,4791,2004,10,2,Garage,12,N,N,44.928524,-93.154785,N
124900,3,1.5,1140,6098,1947,67,4,Garage,137,N,N,44.980152,-93.111389,N
