,ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,ShortSale
217,179900,-1.260464966858967,-0.9011144648973428,-0.4576133315220113,-0.25840383596031663,0.11948515887895603,-0.11948515887895603,1.0394676394416649,1,0.7267981509350168,1,0,0
218,289900,-0.20570788259138342,0.34073761716144585,-0.15850643309460485,-0.1990852268427984,-0.39103401880759214,0.39103401880759214,-0.8239139387176863,1,-1.4256832757772724,0,0,0
219,39900,-1.260464966858967,0.03027459664674868,0.01931313194986701,-0.08058406046353606,-0.8377382992833218,0.8377382992833218,0.10777685036198932,1,1.4513958589371734,1,0,0
220,329900,-0.20570788259138342,-0.2801884238679485,-0.24587442748061705,-0.02126545134601782,-0.5824787104400477,0.5824787104400477,-0.8239139387176863,1,0.13007062669794653,1,0,0
221,149900,0.8490492016762,-0.9011144648973428,-0.4319168625849489,-0.25840383596031663,-0.5824787104400477,0.5824787104400477,-0.8239139387176863,1,-1.4469949730714533,0,0,0
222,84900,-0.20570788259138342,0.03027459664674868,-0.674491529350818,0.21573688141250685,-0.5824787104400477,0.5824787104400477,-0.8239139387176863,1,-0.2535399245973129,1,1,1
223,120000,-0.20570788259138342,-0.9011144648973428,-0.09786276640313757,-0.25840383596031663,-1.0610904395211866,1.0610904395211866,0.10777685036198932,1,-0.2535399245973129,0,1,0
224,204900,0.8490492016762,-0.2801884238679485,0.7552600023073344,0.3342380477917692,0.9490788226195969,-0.9490788226195969,0.10777685036198932,1,-1.2765013947180048,0,1,0
225,145000,0.8490492016762,0.34073761716144585,0.17965909811713643,0.15641827229498861,0.7576341309871413,-0.7576341309871413,-0.8239139387176863,1,-1.2978130920121858,0,0,0
226,269900,0.8490492016762,0.03027459664674868,-0.39388608855809654,-0.1990852268427984,-0.48675636462381994,0.48675636462381994,0.10777685036198932,1,0.10875892940376546,1,1,0
227,194900,0.8490492016762,-0.2801884238679485,-0.3918303710431315,-0.25840383596031663,-0.6782010562562755,0.6782010562562755,-1.7556047277973619,0,1.067785307641914,1,1,0
228,149900,-0.20570788259138342,-1.21157748541204,-0.5809563824199109,-0.37690500233957897,-1.5077947199969164,1.5077947199969164,0.10777685036198932,1,0.7267981509350168,1,0,0
229,74900,-0.20570788259138342,-0.2801884238679485,-0.6282378852641057,-0.1990852268427984,-0.4229414674130014,0.4229414674130014,1.9711584285213404,1,1.4513958589371734,1,1,0
230,139900,-1.260464966858967,-0.9011144648973428,-1.080495738556404,-0.5547247778363595,-0.3591265702021829,0.3591265702021829,-0.8239139387176863,1,0.3005642050513952,0,0,0
231,169900,0.8490492016762,0.34073761716144585,-0.41547112246522894,-0.3175863932220607,-1.0610904395211866,1.0610904395211866,-0.8239139387176863,1,-0.40272180565658044,1,0,0
232,1195000,1.9038062859437834,1.8930527197349316,4.581978156414668,1.578840424413459,-0.8058308506779125,0.8058308506779125,1.0394676394416649,1,1.4513958589371734,1,0,0
233,99900,-0.20570788259138342,-0.9011144648973428,-0.5634827835427084,-0.1399026695810543,-0.5186638132292292,0.5186638132292292,-0.8239139387176863,1,1.4513958589371734,1,0,0
234,129900,-0.20570788259138342,-0.9011144648973428,-0.3918303710431315,0.09723571503324452,0.24711495330059308,-0.24711495330059308,0.10777685036198932,1,-0.8289557515402021,1,0,0
235,1100000,0.8490492016762,-0.2801884238679485,-0.46789191909683625,-0.1399026695810543,-1.0610904395211866,1.0610904395211866,-0.8239139387176863,1,1.4727075562313545,0,0,0
236,299900,-0.20570788259138342,0.34073761716144585,-0.1492557042772624,-0.3175863932220607,-1.1249053367320052,1.1249053367320052,0.10777685036198932,1,-1.2551896974238237,0,1,0
237,259900,-0.20570788259138342,0.03027459664674868,-0.09991848391810257,-0.1990852268427984,-0.45484891601841065,0.45484891601841065,0.10777685036198932,1,0.15138232399212762,0,0,0
238,189900,0.8490492016762,0.34073761716144585,0.4530695276074805,0.6898775987853303,0.980986271225006,-0.980986271225006,0.10777685036198932,1,-1.1486312109529182,0,0,0
239,99000,-0.20570788259138342,-0.9011144648973428,-0.8636175407275973,0.4527392141710315,-0.8058308506779125,0.8058308506779125,-0.8239139387176863,1,-1.2338780001296425,0,0,0
242,145000,-0.20570788259138342,-0.5906514443826456,-0.21503866475614217,-0.02126545134601782,-0.8058308506779125,0.8058308506779125,-1.7556047277973619,0,-1.340436486600548,0,0,0
243,259900,0.8490492016762,0.03027459664674868,0.9957789515582385,-0.02126545134601782,-1.731146860234781,1.731146860234781,0.10777685036198932,1,1.067785307641914,1,0,0
244,169900,-0.20570788259138342,-0.2801884238679485,-0.29418378908229437,0.3342380477917692,-1.0610904395211866,1.0610904395211866,0.10777685036198932,1,1.0251619130535519,1,1,0
245,157000,0.8490492016762,-0.2801884238679485,-0.0896398963432776,0.3994068867075748,-0.8377382992833218,0.8377382992833218,0.10777685036198932,1,1.067785307641914,1,1,0
246,162990,0.8490492016762,0.03027459664674868,0.32150360664972094,-0.08058406046353606,-0.5186638132292292,0.5186638132292292,0.10777685036198932,1,-1.1486312109529182,0,1,0
247,70000,-1.260464966858967,-0.9011144648973428,-0.8111967440959901,0.09723571503324452,0.21520750469518382,-0.21520750469518382,-0.8239139387176863,1,1.4513958589371734,1,1,1
248,117500,-0.20570788259138342,-0.9011144648973428,-0.6302936027790706,-0.25840383596031663,0.7576341309871413,-0.7576341309871413,-0.8239139387176863,1,-0.2535399245973129,1,0,0
249,165000,-0.20570788259138342,0.03027459664674868,-0.5583434897552959,-0.25840383596031663,0.6938192337763227,-0.6938192337763227,-0.8239139387176863,1,1.4513958589371734,0,1,0
250,104500,-1.260464966858967,-0.9011144648973428,-1.1174986538257738,-0.08058406046353606,-0.7739234020725033,0.7739234020725033,-0.8239139387176863,1,0.8972917292884653,1,0,0
251,125000,-0.20570788259138342,-0.9011144648973428,-0.5645106423001909,-0.1990852268427984,0.4704670935384579,-0.4704670935384579,-0.8239139387176863,1,0.1726940212863087,1,0,0
253,98850,-1.260464966858967,-0.9011144648973428,-1.0887186086162641,-0.3175863932220607,-0.3591265702021829,0.3591265702021829,-0.8239139387176863,1,-1.042072724482013,0,1,0
254,199786,-0.20570788259138342,0.34073761716144585,-0.396969664830544,-0.4362236114570972,1.587227794727782,-1.587227794727782,0.10777685036198932,1,0.13007062669794653,1,0,0
