,ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,ShortSale,SquaredBEDS,cubedBEDS,quadraBEDS,SquaredBATHS,cubedBATHS,quadraBATHS,SquaredSQFT,cubedSQFT,quadraSQFT,SquaredLotSize,cubedLotSize,quadraLotSize,SquaredYearBuilt,cubedYearBuilt,quadraYearBuilt,SquaredAge,cubedAge,quadraAge,SquaredParkingSpots,cubedParkingSpots,quadraParkingSpots,SquaredDOM,cubedDOM,quadraDOM
0,214000,-0.19502868068833656,0.27437858508604207,164.78967495219877,278.69598470363326,-15.25525812619503,15.25525812619503,0.11567877629063106,1,48.103250478011475,1,1,0,0.03803618629103314,-0.007418147230755987,0.0014467514675661776,0.07528360795381843,0.020656209830541002,0.0056676216265442335,27155.636970851327,4474968.589546502,737428619.2926674,77671.45188992778,21646721.7678243,6032854438.689366,232.72290049683951,-3550.2479189560886,54159.94841566187,232.72290049683951,3550.2479189560886,54159.94841566187,0.013381579284097866,0.0015479647164205,0.00017906666413659717,2313.922706550311,111307.20353994786,5354238.291889117
1,134900,-0.19502868068833656,-0.7256214149139579,-761.2103250478012,-2334.3040152963667,-22.25525812619503,22.25525812619503,-0.8843212237093689,1,24.103250478011475,1,1,0,0.03803618629103314,-0.007418147230755987,0.0014467514675661776,0.5265264377817342,-0.38205885877278806,0.2772300896831225,579441.1589593792,-441076592.95754373,335752056696.18854,5448975.2358287405,-12719564772.245495,29691331120674.875,495.29651426357,-11022.95177394039,245318.63704164277,495.29651426357,11022.95177394039,245318.63704164277,0.7820240267028358,-0.6915604442639799,0.6115615783405176,580.9666836057604,14003.185494329286,337522.2874598757
2,129722,0.8049713193116634,-0.7256214149139579,-369.21032504780123,-1463.3040152963667,-33.25525812619503,33.25525812619503,-1.884321223709369,0,8.103250478011475,1,0,0,0.64797882491436,0.5216043695773338,0.41987655753739483,0.5265264377817342,-0.38205885877278806,0.2772300896831225,136316.26412190305,-50329372.18574975,18582123864.15243,2141258.6411824697,-3133312367.43035,4584988568438.596,1105.9121930398605,-36777.39544444699,1223041.778714234,1105.9121930398605,36777.39544444699,1223041.778714234,3.5506664741215737,-6.690596195500594,12.607232410450928,65.6626683093932,532.0810483655994,4311.586009509389
3,134900,-1.1950286806883366,0.02437858508604207,-885.2103250478012,2021.6959847036333,-5.255258126195031,5.255258126195031,1.115678776290631,1,-11.896749521988525,1,0,0,1.4280935476677064,-1.706612748168865,2.0394511808901354,0.0005943154107973928,1.4488568810070287e-05,3.5321080751127384e-07,783597.3195712339,-693648437.9642378,614024759239.2225,4087254.6545667932,8263186323.598922,16705650611277.916,27.617737972938908,-145.13834190941228,762.7394507419116,27.617737972938908,145.13834190941228,762.7394507419116,1.24473913186536,1.3887290314406073,1.5493755063969301,141.5326491889342,-1683.7784765842225,20031.490786437917
4,444900,0.8049713193116634,0.7743785850860421,224.78967495219877,5941.695984703633,80.74474187380497,-80.74474187380497,1.115678776290631,1,-60.896749521988525,0,0,0,0.64797882491436,0.5216043695773338,0.41987655753739483,0.5996621930398605,0.4643655605758002,0.3595947457613749,50530.397965115175,11358711.733783487,2553321118.512916,35303751.17464328,209764156599.35416,1246354847001126.8,6519.7133402673935,526432.5707510934,42506662.03926062,6519.7133402673935,-526432.5707510934,42506662.03926062,1.24473913186536,1.3887290314406073,1.5493755063969301,3708.4141023438096,-225830.3647142409,13752335.154462444
5,134900,0.8049713193116634,-0.7256214149139579,190.78967495219877,-1899.3040152963667,-29.25525812619503,29.25525812619503,0.11567877629063106,1,48.103250478011475,1,1,0,0.64797882491436,0.5216043695773338,0.41987655753739483,0.5265264377817342,-0.38205885877278806,0.2772300896831225,36400.70006836566,6944877.7340759635,1325010965.4671159,3607355.7425209014,-6851465246.3723545,13013015453098.523,855.8701280303004,-25038.701518026028,732513.6760546027,855.8701280303004,25038.701518026028,732513.6760546027,0.013381579284097866,0.0015479647164205,0.00017906666413659717,2313.922706550311,111307.20353994786,5354238.291889117
6,159000,-0.19502868068833656,0.27437858508604207,-195.21032504780123,-3206.3040152963667,-33.25525812619503,33.25525812619503,0.11567877629063106,1,-60.896749521988525,0,1,0,0.03803618629103314,-0.007418147230755987,0.0014467514675661776,0.07528360795381843,0.020656209830541002,0.0056676216265442335,38107.07100526821,-7438893.71755805,1452148860.6005535,10280385.438505605,-32962041110.27482,105686324764238.06,1105.9121930398605,-36777.39544444699,1223041.778714234,1105.9121930398605,36777.39544444699,1223041.778714234,0.013381579284097866,0.0015479647164205,0.00017906666413659717,3708.4141023438096,-225830.3647142409,13752335.154462444
7,69900,-0.19502868068833656,-0.47562141491395793,-534.2103250478012,714.6959847036333,-39.25525812619503,39.25525812619503,1.115678776290631,1,22.103250478011475,0,0,0,0.03803618629103314,-0.007418147230755987,0.0014467514675661776,0.2262157303247553,-0.10759304573285447,0.051173556646362424,285380.67138767743,-152453301.22437093,81442127601.68155,510790.35055149597,365059812.5645155,260906782216.52014,1540.975290554201,-60491.38279679355,2374604.846098604,1540.975290554201,60491.38279679355,2374604.846098604,1.24473913186536,1.3887290314406073,1.5493755063969301,488.5536816937145,10798.62439843086,238684.6998964833
8,79990,-1.1950286806883366,-0.47562141491395793,-973.2103250478012,-1899.3040152963667,-6.255258126195031,6.255258126195031,-0.8843212237093689,1,-63.896749521988525,0,0,1,1.4280935476677064,-1.706612748168865,2.0394511808901354,0.2262157303247553,-0.10759304573285447,0.051173556646362424,947138.3367796469,-921764808.6025541,897071028997.716,3607355.7425209014,-6851465246.3723545,13013015453098.523,39.128254225328966,-244.7573302068141,1531.0202787219744,39.128254225328966,244.7573302068141,1531.0202787219744,0.7820240267028358,-0.6915604442639799,0.6115615783405176,4082.7945994757406,-260877.30387242886,16669211.741508275
9,69900,-0.19502868068833656,-0.22562141491395793,-589.2103250478012,-1899.3040152963667,-57.25525812619503,57.25525812619503,-1.884321223709369,0,-0.8967495219885251,0,1,0,0.03803618629103314,-0.007418147230755987,0.0014467514675661776,0.05090502286777636,-0.011485263285655085,0.0025913213531688338,347168.8071429356,-204555445.7031465,120526180653.0488,3607355.7425209014,-6851465246.3723545,13013015453098.523,3278.164583097222,-187692.15938538196,10746363.033872984,3278.164583097222,187692.15938538196,10746363.033872984,3.5506664741215737,-6.690596195500594,12.607232410450928,0.8041597051866483,-0.7211298312285601,0.6466728314458771
