,ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,ShortSale
93,439000,4,2.5,3007,13068.0,1927,87,2,1,1,0,0,0
94,414900,5,3.5,2922,4791.0,2004,10,2,1,12,0,0,0
95,124900,3,1.5,1140,6098.0,1947,67,4,1,137,0,0,0
96,559900,4,3.25,2762,4791.0,2014,0,4,1,11,0,1,0
97,699900,5,3.75,4500,14810.0,1927,87,2,1,77,0,0,0
98,155900,4,1.5,1806,5227.0,1910,104,1,1,2,0,1,0
99,520000,4,3.5,2907,4791.0,2013,1,2,1,57,0,1,0
101,225000,3,1.75,1252,4791.0,1925,89,2,1,65,0,1,0
102,279900,3,1.75,1400,4791.0,1929,85,2,1,12,0,0,0
103,119000,2,1.0,644,5662.0,1900,114,2,1,57,1,0,0
104,129900,3,1.5,1008,4791.0,1900,114,2,1,77,1,1,0
105,324900,4,3.5,2908,4791.0,2004,10,2,1,65,1,0,0
106,499000,3,2.5,1820,4791.0,2013,1,2,1,92,0,1,0
107,289900,3,1.75,1604,4791.0,1925,89,2,1,65,1,0,0
108,159900,4,1.0,1740,4791.0,1889,125,2,1,86,1,0,0
109,144850,4,1.0,1498,4791.0,1952,62,1,1,33,0,1,0
110,182500,4,1.5,2288,9583.0,1958,56,4,1,89,1,1,0
111,162900,4,1.75,1677,6098.0,1963,51,1,1,19,1,1,0
112,58895,4,1.0,1589,15245.0,1914,100,2,1,92,1,0,0
113,40000,4,1.0,1720,3920.0,1890,124,1,1,119,0,0,1
114,179900,4,2.0,3123,4791.0,1961,53,2,1,93,1,0,0
115,195000,3,1.0,1585,5227.0,1914,100,2,1,23,0,1,0
116,119000,3,1.5,1412,6969.0,1922,92,2,1,119,1,0,0
117,199900,3,1.5,1270,4791.0,1917,97,4,1,5,0,1,0
118,159900,3,2.5,1996,3484.0,2000,14,2,1,43,0,0,0
119,239900,4,2.0,2294,8276.0,1915,99,6,1,43,1,0,0
120,124900,3,1.0,1238,4791.0,1925,89,1,1,20,0,1,0
121,179000,3,1.0,1012,3484.0,1957,57,1,1,6,0,0,0
122,149900,3,1.0,1548,4791.0,1888,126,2,1,137,1,1,0
123,179900,3,1.75,1647,5227.0,1925,89,4,1,89,0,0,0
124,294900,4,1.5,2034,10454.0,1932,82,4,1,106,1,0,0
125,149900,3,1.5,1800,4791.0,1903,111,2,1,106,0,0,0
126,139900,3,2.0,1760,14374.0,1960,54,1,1,19,1,1,0
129,135000,6,2.0,1876,5227.0,2002,12,1,1,30,1,1,0
130,189000,5,3.25,2234,5662.0,2005,9,2,1,99,0,1,0
131,179900,3,1.5,1628,4791.0,2013,1,4,1,119,1,0,0
132,159900,2,1.0,1149,4791.0,1947,67,1,1,137,0,1,0
133,154900,3,1.75,1876,7405.0,1941,73,2,1,72,1,1,0
134,189900,4,1.75,1802,7840.0,1953,61,2,1,15,0,0,0
135,749000,5,3.5,3327,12196.0,1910,104,3,1,65,0,0,0
136,749900,3,2.25,2079,7840.0,1926,88,2,1,92,0,0,0
137,189500,2,1.0,1280,5227.0,1926,88,1,1,15,0,0,0
138,479900,4,2.25,2696,7405.0,1916,98,2,1,100,1,0,0
139,174900,3,2.0,1932,4356.0,1911,103,1,1,93,1,1,0
140,88000,2,1.0,905,4791.0,1952,62,1,1,137,1,0,1
141,109900,2,1.75,1374,12196.0,1900,114,2,1,42,1,1,1
142,104900,3,1.5,1140,19602.0,1955,59,1,1,137,1,0,0
143,146000,2,1.75,2195,10454.0,1953,61,2,1,98,1,1,0
144,99900,2,0.75,994,5227.0,1911,103,2,1,20,0,1,0
145,274900,4,1.75,2647,3920.0,1886,128,3,1,137,0,0,0
146,85000,2,1.25,1027,5227.0,1900,114,1,1,137,0,0,1
147,244999,4,2.0,1900,5227.0,1922,92,4,1,5,0,1,0
148,164900,3,1.75,1557,4791.0,1921,93,2,1,34,0,0,0
149,375000,4,2.75,2163,4791.0,1947,67,1,1,70,1,0,0
150,169750,3,1.75,1600,6969.0,1949,65,1,1,39,0,0,0
151,269900,3,1.75,2119,4791.0,1933,81,4,1,137,1,0,0
